Primary_Key,Port_Code,Date,Measure_Code,Value
1000001,2507,2019-03-01,22,34447
1000002,2506,2019-03-01,22,81217
1000003,2604,2019-03-01,19,62
1000004,2309,2019-03-01,20,1808
1000005,2504,2019-03-01,11,7779
1000006,2505,2019-03-01,20,1993
1000007,2310,2019-03-01,20,740
1000008,2603,2019-03-01,20,139
1000009,2410,2019-03-01,13,4362
1000010,2506,2019-03-01,15,573597
1000011,2307,2019-03-01,13,4762
1000012,2302,2019-03-01,21,5295
1000013,2606,2019-03-01,14,4658
1000014,2606,2019-03-01,13,23
1000015,2302,2019-03-01,14,259047
1000016,2601,2019-03-01,22,2175
1000017,2604,2019-03-01,20,5928
1000018,2408,2019-03-01,14,109340
1000019,2506,2019-03-01,12,916
1000020,2504,2019-03-01,12,3329
1000021,2604,2019-03-01,11,17479
1000022,2602,2019-03-01,15,46128
1000023,2503,2019-03-01,13,346158
1000024,2506,2019-03-01,13,306812
1000025,2507,2019-03-01,21,20256
1000026,2506,2019-03-01,21,63197
1000027,2506,2019-03-01,20,22225
1000028,2601,2019-03-01,21,1639
1000029,2408,2019-03-01,21,8698
1000030,2302,2019-03-01,12,1
1000031,2507,2019-03-01,15,285861
1000032,2505,2019-03-01,15,92015
1000033,2307,2019-03-01,20,814
1000034,2601,2019-03-01,15,144173
1000035,2303,2019-03-01,19,282
1000036,2404,2019-03-01,14,74438
1000037,2507,2019-03-01,18,21
1000038,2402,2019-03-01,17,3162
1000039,2309,2019-03-01,13,133671
1000040,2608,2019-03-01,22,4511
1000041,2307,2019-03-01,22,3468
1000042,2604,2019-03-01,13,287660
1000043,2310,2019-03-01,22,981
1000044,2309,2019-03-01,21,4064
1000045,2603,2019-03-01,14,48991
1000046,2408,2019-03-01,22,9903
1000047,2603,2019-03-01,15,28301
1000048,2502,2019-03-01,15,50180
1000049,2305,2019-03-01,14,789452
1000050,2310,2019-03-01,21,244
1000051,2604,2019-03-01,22,35398
1000052,2303,2019-03-01,13,70186
1000053,2604,2019-03-01,12,840
1000054,2608,2019-03-01,21,3797
1000055,2309,2019-03-01,14,259042
1000056,2402,2019-03-01,13,643868
1000057,2402,2019-03-01,16,5655
1000058,2506,2019-03-01,18,36
1000059,2305,2019-03-01,11,22438
1000060,2601,2019-03-01,11,575
1000061,2504,2019-03-01,14,2045733
1000062,2604,2019-03-01,21,30509
1000063,2402,2019-03-01,14,1748432
1000064,2504,2019-03-01,13,930046
1000065,2406,2019-03-01,14,64898
1000066,2301,2019-03-01,19,76
1000067,2603,2019-03-01,22,262
1000068,2307,2019-03-01,14,79235
1000069,2301,2019-03-01,17,559
1000070,2402,2019-03-01,22,68998
1000071,2402,2019-03-01,15,982585
1000072,2305,2019-03-01,15,385365
1000073,2403,2019-03-01,14,130765
1000074,2301,2019-03-01,14,804857
1000075,2504,2019-03-01,15,1208832
1000076,2601,2019-03-01,14,255070
1000077,2601,2019-03-01,20,536
1000078,2301,2019-03-01,20,11553
1000079,2303,2019-03-01,11,5242
1000080,2305,2019-03-01,20,14594
1000081,2408,2019-03-01,12,24
1000082,2302,2019-03-01,13,17610
1000083,2507,2019-03-01,19,17
1000084,2502,2019-03-01,14,98065
1000085,2304,2019-03-01,14,879046
1000086,2304,2019-03-01,19,398
1000087,2406,2019-03-01,21,311
1000088,2302,2019-03-01,20,1419
1000089,2608,2019-03-01,11,16
