Incident_ID,Date_Reported,Fatalities,Minimum_Estimated_Number_of_Missing_Individuals,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death_Code,Location_Code,Incident_Lat,Incident_Lng,URL_Code,Source_Quality
51580,2019-03-23,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51581,2019-03-23,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51578,2019-03-21,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51579,2019-03-21,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51577,2019-03-15,1.0,0.0,,,,,135,1242,32.3318032,-112.5245093,10291,5
51576,2019-03-13,1.0,0.0,,,,,135,1242,31.7944156,-112.4464473,10291,5
51575,2019-03-11,1.0,0.0,,,,,135,1242,32.0577019,-112.1430215,10291,5
51574,2019-03-06,1.0,0.0,,1.0,,,135,1242,32.057499,-111.6660725,10291,5
51573,2019-02-27,1.0,0.0,,,,,135,1242,32.0577019,-112.1430215,10291,5
51571,2019-02-26,1.0,0.0,,,,,135,1242,32.0577019,-112.1430215,10291,5
51572,2019-02-26,1.0,0.0,,,1.0,,135,1242,32.291122,-111.3776691,10291,5
51510,2019-02-25,1.0,0.0,,,1.0,,104,1068,28.620958685162,-100.16077503796,10098,3
51569,2019-02-25,1.0,0.0,,,,,135,1242,31.8023841,-110.2622842,10291,5
51570,2019-02-25,1.0,0.0,,,,,135,1242,32.3318032,-112.5245093,10291,5
51508,2019-02-22,1.0,0.0,,,1.0,,102,1321,28.718723271107002,-100.50664743301,10418,5
51568,2019-02-22,1.0,0.0,,,,,135,1242,32.3318032,-112.5245093,10291,5
51498,2019-02-21,1.0,0.0,,,1.0,,141,1227,32.5630235,-116.9407905,10327,3
51502,2019-02-21,2.0,0.0,,,,,131,1188,27.131022830084,-98.053451252909,10306,1
51503,2019-02-20,1.0,0.0,,,1.0,,102,1031,32.705996627134,-115.15969451579001,10314,3
51497,2019-02-19,1.0,0.0,2.0,1.0,,,139,1126,32.542375795428,-116.9995374595,10305,3
51566,2019-02-19,1.0,0.0,,,1.0,,135,1242,32.057499,-111.6660725,10291,5
51567,2019-02-19,1.0,0.0,,,1.0,,135,1242,32.057499,-111.6660725,10291,5
51501,2019-02-17,1.0,0.0,,,1.0,,131,1259,26.982280497005,-98.26737950816099,10306,1
51476,2019-02-14,1.0,0.0,,,1.0,,102,1319,28.70036057,-100.51075770723,10391,5
51500,2019-02-14,1.0,0.0,,,,,135,1278,27.040028051146002,-98.103990938813,10306,1
51470,2019-02-13,,1.0,1.0,,1.0,,104,1465,26.094483422112997,-98.270738236367,10419,3
51499,2019-02-11,1.0,0.0,,1.0,,,135,1278,27.025620837846,-98.163042452485,10306,1
51464,2019-02-07,1.0,0.0,,,1.0,,104,1473,26.365378242149,-98.813139596667,10421,1
51458,2019-02-04,1.0,0.0,,,1.0,,104,1457,26.378453484173,-98.95654923053301,10313,1
51592,2019-02-01,1.0,0.0,,,1.0,,104,1324,26.08203415456,-98.258656087878,10458,3
51563,2019-01-29,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51564,2019-01-29,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51565,2019-01-29,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
49256,2019-01-28,3.0,0.0,,,3.0,,104,1487,27.345466202070998,-99.50689122197599,10417,3
49252,2019-01-26,1.0,0.0,,,1.0,,104,1439,26.143064684377,-98.330164834268,10323,3
51562,2019-01-26,1.0,0.0,,,,,135,1242,31.6912038,-110.4616239,10291,5
49251,2019-01-25,1.0,0.0,,,1.0,,104,1494,26.217242152142,-98.45539350095899,10328,1
49249,2019-01-24,2.0,0.0,,1.0,1.0,1.0,141,1034,31.6671011,-106.4267678,10414,3
51561,2019-01-24,1.0,0.0,,,1.0,,135,1242,31.3654357,-110.1062364,10291,5
49248,2019-01-23,1.0,0.0,,,1.0,,104,1478,28.741004209104,-100.50750343418,10322,3
49244,2019-01-22,1.0,0.0,,,1.0,,104,1483,27.496386435717,-99.522521470236,10302,3
51556,2019-01-21,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51557,2019-01-21,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51558,2019-01-21,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51559,2019-01-21,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51560,2019-01-21,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51555,2019-01-19,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51553,2019-01-17,1.0,0.0,,,,,135,1242,32.4812007,-111.6678407,10291,5
51554,2019-01-17,1.0,0.0,,,1.0,,118,1242,31.7468921,-111.9457386,10291,5
48351,2019-01-16,,1.0,,,1.0,,104,1452,26.258109878807,-98.596733869797,10321,1
48352,2019-01-16,1.0,0.0,,,1.0,,102,1491,29.0639375,-100.6635625,10383,3
48348,2019-01-15,,2.0,,,,,104,1455,27.478392338088003,-99.47927694584601,10420,1
51552,2019-01-15,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
48345,2019-01-14,1.0,0.0,,,1.0,,145,1289,28.73072770615,-100.56344521596,10382,3
48116,2019-01-06,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
48115,2018-12-31,1.0,0.0,,,,,135,1242,32.2769249,-112.8598846,10291,5
48088,2018-12-28,1.0,0.0,,,1.0,,102,1214,32.541882023698,-117.13373414023,10366,3
48322,2018-12-27,1.0,0.0,,,1.0,,131,1257,27.028916988435,-98.07034530893,10413,1
48086,2018-12-25,1.0,0.0,,,1.0,,109,1270,28.759006919815,-100.5193484001,10425,1
48078,2018-12-20,1.0,0.0,,,1.0,,102,1503,28.655830400381,-100.48061128093,10324,5
48114,2018-12-20,1.0,0.0,,,,,135,1242,31.7855285,-111.4663925,10291,5
48067,2018-12-19,1.0,0.0,,,1.0,1.0,102,1497,28.70236035207,-100.5115385469,10308,3
48077,2018-12-18,1.0,0.0,,,1.0,,139,1253,31.897189083031,-106.43910364399,10422,5
48109,2018-12-18,1.0,0.0,,,1.0,,135,1242,32.4026649,-111.4275888,10291,5
48110,2018-12-18,1.0,0.0,,,1.0,,135,1242,31.5894922,-111.3633789,10291,5
48111,2018-12-18,1.0,0.0,,,,,135,1242,32.3318032,-112.5245093,10291,5
48112,2018-12-18,1.0,0.0,,1.0,,,135,1242,31.814869,-111.8223285,10291,5
48113,2018-12-18,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
48124,2018-12-15,2.0,0.0,1.0,,2.0,2.0,145,1066,32.5382967,-117.0140624,10456,3
49267,2018-12-14,1.0,0.0,,,1.0,,135,1059,29.827611906085,-102.59243241328,10465,5
48062,2018-12-12,1.0,0.0,,,1.0,,102,1474,27.630474,-99.625893,10320,3
48108,2018-12-11,1.0,0.0,,,,,135,1242,32.057499,-111.6660725,10291,5
51542,2018-12-10,1.0,0.0,,,1.0,,102,1209,32.665484522393996,-115.50203701971,10465,5
51490,2018-12-09,1.0,0.0,,,1.0,,131,1008,26.182455064507,-98.37982216335101,10465,5
46138,2018-12-08,1.0,0.0,,,1.0,,102,1449,27.629882,-99.626826,10416,3
46139,2018-12-08,1.0,0.0,,,,,102,1450,28.337657,-100.308865,10362,3
48061,2018-12-08,1.0,0.0,,1.0,,1.0,128,1089,31.770748,-106.499407,10319,3
46137,2018-12-07,1.0,0.0,,,,,104,1504,27.427587,-99.491763,10407,3
46135,2018-12-05,1.0,0.0,2.0,,1.0,,102,1147,32.65921361806,-115.5774444791,10304,5
46127,2018-12-03,1.0,0.0,,,,,104,1479,26.16075,-98.349042,10423,5
46129,2018-12-03,1.0,0.0,,,1.0,,104,1448,26.150512,-98.33858,10318,3
46126,2018-12-02,1.0,0.0,,,,,104,1436,25.886732,-97.518249,10423,5
46125,2018-12-01,1.0,0.0,,,,,135,1266,27.122955,-98.0936,10423,5
48107,2018-12-01,1.0,0.0,,,,,135,1242,31.9163189,-112.9357799,10291,5
49266,2018-12-01,1.0,0.0,,1.0,,,128,1127,29.608160591764,-102.88357010858999,10465,5
