Primary_Key,Location_Description
1001,"""El Patinadero"", Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico"
1002,"""desert of Mexico"""
1003,"100 W. Military Road, Mission, Hidalgo County, Texas, USA"
1004,"1298 W Military Road, Mission, Hidalgo County, Texas, USA"
1005,"1610 East Paisano Drive, El Paso, El Paso County, Texas"
1006,"2.5 miles east and 1 mile north of 45742 US Highway 281, San Manuel, Hidalgo County, Texas, USA"
1007,"200 Flores St, Los Ebanos, Hidalgo County, Texas, USA"
1008,"2800 Bentsen Palm, Hidalgo County, Texas, USA"
1009,"3000 block of Dairy Mart Road, San Diego County, California, USA"
1010,4 miles west of FR 19
1011,"44320 W Sevenmile Road, Sullivan City, Hidalgo County, Texas, USA"
1012,"45472 Expressway 281, Linn, Hidalgo County, Texas, USA"
1013,"7 miles north of Boulevard, San Diego County, California, USA"
1014,"900 Mebus Road, east of Tornillo port of entry, El Paso County, Texas, USA"
1015,"97 km north of border, Kenedy County, Texas"
1016,"Abram Road & Military Road, Mission, Hidalgo County, Texas, USA"
1017,"Adan Gonzalez Ranch, Brooks County, Texas, USA"
1018,"All American Canal East of drop 2, Winterhaven CA"
1019,"All American Canal and Wisteria Canal, Calexico, CA 92231. GPS: N32.66140 W115.55400"
1020,"All American Canal at Central Main Check, Calexico CA"
1021,All American Canal near Calexico
1022,"All American Canal, Calexico CA"
1023,"All American Canal, Calexico, Imperial County, California"
1024,"All American Canal, Calexico, Imperial County, California, USA"
1025,"All American Canal, Drop 2, Winterhaven, Imperial County, California"
1026,"All American Canal, Drop 3, Holtville, Imperial County, California "
1027,"All American Canal, East of Highline Canal, Calexico CA"
1028,"All American Canal, Holtville, Imperial County, California, USA"
1029,"All American Canal, between Bowker and Cole St., Calexico, Imperial County, California, USA"
1030,"All American Canal, near Calexico, Mexico"
1031,"All-American Canal, Calexico, Imperial County, California, USA"
1032,"Anza-Borrego Desert State Park, San Diego County, California"
1033,Arizona
1034,"Avenida Tecnológico, Ciudad Juárez, Chihuaha, Mexico"
1035,"Banks of Rio Grande, near Laredo, Webb County, Texas"
1036,"Banks of the Rio Bravo, near Peñitas, Texas, USA"
1037,"Benavides Ranch, Brooks County, Texas, USA"
1038,"Between 20 de noviembre and Oasis street, Valle de Mexicali, Baja California, Mexico"
1039,"Between Hidalgo, Coahuila, Mexico and the US border"
1040,"Between Highway US 281 and Pedro Martínez Street, Mercedes, Hidalgo  County, Texas, USA"
1041,"Big Bend area, near Marfa, Presidio County, Texas, USA"
1042,"Black Gap Fish Camp, Brewster County, Texas, USA"
1043,"Body found in Faith Ranch, near El Indio, Maverick County, Texas"
1044,"Body found in Mexicali, Baja California, Mexico"
1045,"Body found in ranch near Carrizo Springs, Dimmit County, Texas, USA"
