Primary_Key,Incident_ID,Nearest_Port
100001,51580,2606
100002,51581,2606
100003,51578,2606
100004,51579,2606
100005,51577,2602
100006,51576,2602
100007,51575,2602
100008,51574,2606
100009,51573,2602
100010,51571,2602
100011,51572,2606
100012,51510,2303
100013,51569,2603
100014,51570,2602
100015,51508,2303
100016,51568,2602
100017,51498,2582
100018,51502,2307
100019,51503,2507
100020,51497,2582
100021,51566,2606
100022,51567,2606
100023,51501,2307
100024,51476,2303
100025,51500,2307
100026,51470,2305
100027,51499,2307
100028,51464,2307
100029,51458,2310
100030,51592,2305
100031,51563,2606
100032,51564,2606
100033,51565,2606
100034,49256,2304
100035,49252,2305
100036,51562,2604
100037,49251,2305
100038,49249,2402
100039,51561,2603
100040,49248,2303
100041,49244,2304
100042,51556,2606
100043,51557,2606
100044,51558,2606
100045,51559,2606
100046,51560,2606
100047,51555,2606
100048,51553,2606
100049,51554,2606
100050,48351,2307
100051,48352,2302
100052,48348,2304
100053,51552,2606
100054,48345,2303
100055,48116,2606
100056,48115,2602
100057,48088,2506
100058,48322,2307
100059,48086,2303
100060,48078,2303
100061,48114,2606
100062,48067,2303
100063,48077,2402
100064,48109,2606
100065,48110,2606
100066,48111,2602
100067,48112,2606
100068,48113,2606
100069,48124,2504
100070,49267,2410
100071,48062,2304
100072,48108,2606
100073,51542,2503
100074,51490,2305
100075,46138,2304
100076,46139,2303
100077,48061,2402
100078,46137,2304
100079,46135,2503
100080,46127,2305
100081,46129,2305
100082,46126,2301
100083,46125,2307
100084,48107,2602
100085,49266,2410
100086,46114,2504
100087,46111,2304
100088,46112,2505
100089,46113,2304
100090,51551,2505
100091,46098,2303
100092,46093,2504
100093,46141,2507
100094,46089,2307
100095,46090,2504
100096,46088,2505
100097,51541,2507
100098,46092,2304
100099,51484,2309
100100,46080,2301
100101,51489,2305
100102,46078,2304
100103,46087,2307
100104,46091,2305
100105,46064,2303
100106,48106,2602
100107,46049,2303
100108,48105,2604
100109,46076,2301
100110,48104,2601
100111,46047,2310
100112,48103,2606
100113,48102,2606
100114,46042,2304
100115,46032,2303
100116,46031,2307
100117,48098,2606
100118,46017,2608
100119,48097,2602
100120,48095,2606
100121,48096,2602
100122,45980,2304
100123,45979,2304
100124,46030,2307
100125,46002,2310
100126,45996,2304
100127,51488,2305
100128,45973,2301
100129,45975,2305
100130,48094,2606
100131,51540,2503
100132,48093,2602
100133,48092,2602
100134,45957,2303
100135,45959,2305
100136,45967,2303
100137,48091,2602
100138,51487,2307
100139,45951,2304
100140,51486,2305
100141,45949,2305
100142,45950,2309
100143,45992,2606
100144,45994,2602
100145,45971,2307
100146,45991,2602
100147,45944,2307
100148,45989,2604
100149,45990,2606
100150,51485,2305
100151,45935,2303
100152,45939,2606
100153,46044,2505
100154,45938,2507
100155,45928,2304
100156,45988,2602
100157,45987,2606
100158,45925,2503
100159,45924,2503
100160,45985,2606
100161,45986,2602
100162,45984,2606
100163,45983,2602
100164,45909,2304
100165,45903,2309
100166,49265,2403
100167,45902,2305
100168,45895,2303
100169,45894,2304
100170,46020,2602
100171,45887,2304
100172,45888,2404
100173,45889,2302
100174,45892,2307
100175,46019,2602
100176,45886,2304
100177,46108,2505
100178,45882,2305
100179,45885,2307
100180,45880,2304
100181,45868,2309
100182,45879,2309
100183,46018,2602
100184,45866,2305
100185,45867,2303
100186,51539,2503
100187,45858,2304
100188,45859,2303
100189,46016,2606
100190,45855,2304
100191,45856,2305
100192,45865,2309
100193,45853,2303
100194,45845,2303
100195,46014,2606
100196,51550,2506
100197,45877,2303
100198,46012,2602
100199,46011,2606
100200,46010,2602
100201,49264,2403
100202,46005,2606
100203,51538,2507
100204,46001,2606
100205,46003,2603
100206,45998,2602
100207,45995,2602
100208,45851,2304
100209,45993,2602
100210,45832,2305
100211,45815,2503
100212,45818,2404
100213,45829,2606
100214,45830,2602
100215,51537,2502
100216,45793,2307
100217,45756,2304
100218,45757,2307
100219,45814,2507
100220,45828,2602
100221,45825,2602
100222,45826,2602
100223,45754,2304
100224,45824,2606
100225,45751,2307
100226,45810,2304
100227,45753,2303
100228,45813,2507
100229,45752,2303
100230,45822,2603
100231,45741,2304
100232,45820,2606
100233,45821,2603
100234,45725,2310
100235,48122,2606
100236,48121,2602
100237,45844,2505
100238,45908,2606
100239,45724,2503
100240,45740,2507
100241,48119,2601
100242,48120,2606
100243,48118,2602
100244,45716,2303
100245,45727,2304
100246,45739,2503
100247,48123,2606
100248,44943,2307
100249,44941,2307
100250,44942,2305
100251,45771,2305
100252,45792,2606
100253,44940,2603
100254,45789,2603
100255,45790,2606
100256,45791,2606
100257,44928,2303
100258,45788,2602
100259,44927,2305
100260,45808,2307
100261,45809,2307
100262,51536,2503
100263,44926,2307
100264,44939,2309
100265,45784,2602
100266,45785,2606
100267,45786,2606
100268,45787,2606
100269,45783,2602
100270,44925,2305
100271,45782,2606
100272,44904,2303
100273,45781,2604
100274,45807,2307
100275,44890,2304
100276,44891,2303
100277,45780,2602
100278,45806,2307
100279,45779,2602
100280,45805,2307
100281,44889,2303
100282,45777,2606
100283,45778,2606
100284,45804,2307
100285,51483,2309
100286,45776,2606
100287,45775,2604
