Port_Code,Port_Name,State,Port_Lat,Port_Lng
2507,Calexico East,California,32.67524,-115.48433
2506,Otay Mesa,California,32.57333,-117.05333
2604,Nogales,Arizona,31.34028,-110.93361000000002
2309,Progreso,Texas,26.061670000000003,-97.94889
2504,San Ysidro,California,32.54306,-117.02666999999998
2505,Tecate,California,32.577220000000004,-116.62666999999999
2310,Roma,Texas,26.403609999999997,-99.01833
2603,Naco,Arizona,31.335280000000004,-109.9475
2410,Boquillas,Texas,29.190000000000005,-102.95
2307,Rio Grande City,Texas,26.379440000000002,-98.82
2302,Del Rio,Texas,29.3625,-100.89639
2606,Sasabe,Arizona,31.488609999999998,-111.54138999999999
2601,Douglas,Arizona,31.344439999999995,-109.54472
2408,Santa Teresa,New Mexico,31.850000000000005,-106.67903000000001
2602,Lukeville,Arizona,31.8825,-112.815
2503,Calexico,California,32.67889,-115.49806
2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999
2404,Tornillo-Fabens,Texas,31.50222,-106.15806
2402,El Paso,Texas,31.758610000000004,-106.48638999999999
2608,San Luis,Arizona,32.486940000000004,-114.78139000000002
2502,Andrade,California,32.7394,-114.63401999999999
2305,Hidalgo,Texas,26.1,-98.26278
2406,Columbus,New Mexico,31.8275,-107.63944
2301,Brownsville,Texas,25.90139,-97.49722
2403,Presidio,Texas,29.56056,-104.37167
2304,Laredo,Texas,27.506109999999996,-99.50721999999999
2582,Cross Border Xpress,California,32.54722,-116.975
