date_incident_concat,date_reported,year_reported,year_month_reported,year_qtr_reported,incident_id,nearest_port_code,nearest_port_name,nearest_port_state,nearest_port_lat,nearest_port_lng,incident_lat,incident_lng,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,cause_of_death_code,cause_of_death,cause_of_death_category,location_code,location_desc,url_code,url_desc,source_quality_code,source_desc
2015-04-24|41035,2015-04-24,2015,2015-4,2015-2,41035,2301,Brownsville,Texas,25.90139,-97.49722,25.9590963,-97.2960378,1,0,1,,1,,,141,Vehicle Accident,Vehicle-related,1057,"Brownsville Ship Channel, Cameron County, Texas",10025,"http://bit.ly/1VGcJ4Z, http://bit.ly/2kDAgcL",1,one media source
2015-08-14|40377,2015-08-14,2015,2015-8,2015-3,40377,2301,Brownsville,Texas,25.90139,-97.49722,20.3372222,-98.3944444,1,0,1,,,1,,102,Drowning,Drowning,1322,"Rio Bravo, near Ejido Las Calabazas, Mexican side (probably)",10031,http://bit.ly/1XHKqpi,1,one media source
2016-01-31|44394,2016-01-31,2016,2016-1,2016-1,44394,2301,Brownsville,Texas,25.90139,-97.49722,25.899013473544997,-97.49821186065701,1,0,1,,,1,,102,Drowning,Drowning,1391,"Río Bravo, Brownsville, Cameron County, Texas, USA",10084,http://bit.ly/2EFgQhC,1,one media source
2016-07-15|42752,2016-07-15,2016,2016-7,2016-3,42752,2301,Brownsville,Texas,25.90139,-97.49722,17.3186939,-100.4140054,1,1,2,,,2,,102,Drowning,Drowning,1361,"Rio Grande, Rancho Las Tejas, Guerrero, Mexico",10156,http://bit.ly/2fd2dG8,1,one media source
2017-01-13|30688,2017-01-13,2017,2017-1,2017-1,30688,2301,Brownsville,Texas,25.90139,-97.49722,25.8433787,-97.5849845,1,0,1,,,1,,102,Drowning,Drowning,1313,"Rio Bravo, Puente Internacional Los Tomates, Matamoros, Tamaulipas, Mexico",10177,http://bit.ly/2jFdekL,1,one media source
2017-01-24|30753,2017-01-24,2017,2017-1,2017-1,30753,2301,Brownsville,Texas,25.90139,-97.49722,25.8433787,-97.5849845,1,0,1,,,1,,102,Drowning,Drowning,1406,"Río Bravo, Fraccionamiento Arboledas, Matamoros, Tamaulipas, Mexico",10187,"http://bit.ly/2jwVvvB, https://goo.gl/n024Qm",3,multiple media reports
2017-04-20|30926,2017-04-20,2017,2017-4,2017-2,30926,2301,Brownsville,Texas,25.90139,-97.49722,25.8487649,-97.5613236,1,0,1,,,1,,102,Drowning,Drowning,1306,"Rio Bravo, Matamoros, Tamaulipas, Mexico",10216,http://bit.ly/2pWh9M8,1,one media source
2017-07-18|30172,2017-07-18,2017,2017-7,2017-3,30172,2301,Brownsville,Texas,25.90139,-97.49722,25.898967660534,-97.497912953442,1,0,1,,,1,,102,Drowning,Drowning,1391,"Río Bravo, Brownsville, Cameron County, Texas, USA",10251,http://bit.ly/2uryAI2,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2018-01-31|44380,2018-01-31,2018,2018-1,2018-1,44380,2301,Brownsville,Texas,25.90139,-97.49722,25.837514095556003,-97.405416769312,1,0,1,,,1,,102,Drowning,Drowning,1447,"Río Bravo, near Ejido Longoreño, Matamoros, Tamaulipas, Mexico",10093,"http://bit.ly/2GCqDWi, http://bit.ly/2EaA0Oz",3,multiple media reports
2018-05-11|44804,2018-05-11,2018,2018-5,2018-2,44804,2301,Brownsville,Texas,25.90139,-97.49722,25.843919501435,-97.371762333435,1,0,1,,,1,,102,Drowning,Drowning,1501,"Río Bravo, near Éjido El Refugio, Matamoros, Tamaulipas, Mexico",10363,https://bit.ly/2L8OSxJ,1,one media source
2018-05-13|44805,2018-05-13,2018,2018-5,2018-2,44805,2301,Brownsville,Texas,25.90139,-97.49722,25.887315677911,-97.51193806508199,1,0,1,,,1,,102,Drowning,Drowning,1471,"Río Bravo, near La Galeana, Matamoros, Tamaulipas, Mexico",10427,"https://bit.ly/2k2WWnc, https://bit.ly/2k4yEJJ, https://bit.ly/2L8OSxJ",3,multiple media reports
2018-06-04|44923,2018-06-04,2018,2018-6,2018-2,44923,2301,Brownsville,Texas,25.90139,-97.49722,25.920275789511,-97.516709874219,1,0,1,,,,,131,Unknown,Unknown,1191,"Near Brownsville, Cameron County, Texas, USA",10350,https://bit.ly/2Jk42i9,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
