Web ID,rlat,rlng
30624,31.793083,-111.852183
30660,31.91683,-112.93808
30666,31.700433,-111.700666
30668,33.63877,-114.26164
30670,32.31711,-113.13486
30671,32.31711,-113.13486
30672,32.30597,-113.09133
30677,31.68753,-111.98465
30678,32.06821,-112.4018
30682,31.99745,-112.12123
30708,32.11655,-111.67701
30720,32.45399,-113.18415
30721,32.0145,-112.06358
30755,32.3088,-111.395217
30764,31.4246,-111.2435
30784,31.90777,-110.40457
30787,32.08317,-112.29913
30790,32.31615,-113.08218
30791,32.28982,-113.08218
30795,32.16779,-113.11262
30799,31.847404,-111.404717
30805,32.29002,-113.08218
30806,31.42439,-111.24375
30810,31.95165,-112.83267
30811,31.745261,-111.855706
30818,31.85898,-112.40396
30824,32.393333,-113.1245
30825,32.34814,-113.09823
30827,31.820317,-112.141433
30839,31.77614,-111.23924
30846,32.08903,-113.25421
30857,32.170217,-112.376717
30860,31.9442,-113.018383
30861,32.39057,-113.115
30865,32.01978,-112.15991
30876,31.70533,-112.00406
30887,32.39312,-113.39312
30916,31.79776,-112.12161
30929,32.2623,-111.57253
30933,32.34637,-113.11729
30935,31.9758,-112.988183
30947,32.328767,-113.118367
30952,32.11713,-113.00212
30963,32.04674,-113.00973
30964,32.04694,-113.00973
30968,31.884333,-111.806183
30977,31.98845,-112.149283
30990,31.80328,-112.40016
31001,32.41068,-113.13601
31002,32.54941,-113.13165
31026,31.882383,-112.16165
31027,32.601267,-112.671433
31053,31.98217,-112.13511
31054,31.64953,-111.45708
31063,32.44072,-113.11978
31064,32.41934,-113.13554
31065,32.44072,-113.11978
31066,32.41131,-113.13784
31067,32.41175,-113.13807
31068,32.41754,-113.1268
31069,32.42663,-113.12548
31099,32.3334,-113.1181
35447,31.70756,-112.00154
35449,32.106783,-112.969983
35450,32.06269,-112.47641
35453,31.764317,-111.390167
35454,31.764317,-111.390167
35459,32.3624,-113.1166
39208,32.40291,-113.02935
39215,31.354017,-110.989383
39217,31.99887,-110.862595
39218,31.467633,-110.793333
39219,31.95283,-112.34965
39220,31.34675,-109.4814
39222,31.6488,-110.697817
39256,31.59713,-111.73756
39257,31.94026,-113.01125
39259,32.478317,-113.182833
39260,31.81154,-111.01101
39261,31.81154,-111.01101
39262,32.159,-112.919
39263,32.481483,-111.654933
39264,32.481483,-111.654933
39265,31.8054,-111.854867
39266,31.992833,-111.385833
39267,31.992833,-111.385833
39268,32.00768,-112.1726
39269,31.82214,-111.96383
39270,32.08795,-112.58407
39271,32.0885,-112.44956
39274,31.789033,-112.114583
39275,31.558,-111.183
39276,31.94755,-112.06415
39277,31.85666,-111.62433
39279,32.3085,-111.7528
39280,32.3087,-111.7528
39282,32.03171,-112.42503
39283,31.836217,-111.9419
39284,32.12865,-111.330983
39285,32.178733,-112.5039
39286,32.09045,-112.246033
39288,32.1886,-113.0037
39289,32.1833,-112.9961
39290,31.59867,-111.43782
39291,31.58023,-111.79283
39292,32.12555,-112.868
39293,31.75233,-111.97016
39294,31.692369,-110.360473
39295,31.61445,-111.68357
39296,32.46313,-111.6213
39297,32.0667,-113.1525
39304,32.05,-112.9
39305,32.48843,-112.59816
39306,31.778767,-111.396767
39307,32.833333,-113.75
39308,31.914994,-111.875669
39309,31.84452,-111.86507
39310,32.14323,-112.58124
39311,31.78543,-111.86321
39312,31.49908,-111.40091
39313,32.889083,-113.05275
39314,32.175119,-110.928097
39315,32.17175,-111.20567
39316,32.17175,-111.20567
39317,32.49936,-112.21016
39318,31.39289,-111.00497
39319,31.6739,-111.84799
39320,32.375917,-112.12716
39321,31.629327,-111.78697
39322,32.081967,-112.737717
39324,32.316,-111.863817
39325,31.62332,-111.69537
39326,32.03617,-113.00065
39327,31.651,-111.6385
39328,32.37387,-113.14252
39329,32.532056,-111.533472
39331,32.83222,-112.05419
39332,31.949573,-112.871417
39335,32.197083,-113.05333
39336,31.685017,-111.997183
39338,31.63525,-111.78028
39339,32.03905,-112.12708
40315,31.396923,-110.952925
40317,31.3747,-110.93133
40385,31.379722,-110.940833
40571,31.6129,-111.51831
40573,32.12695,-112.141385
