port_year_concat,port_code,port_name,port_state,port_lat,port_lng,year_reported,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,pedestrian_x,passenger_x_bus,passenger_x_train,passenger_x_personal_vehicle,passenger_x_any,pedestrian_and_passenger_x,personal_vehicles,buses,trains,trucks,rail_containers_full,rail_containers_empty,truck_containers_full,truck_containers_empty
2301|2014,2301,Brownsville,Texas,25.90139,-97.49722,2014,,,,,,,,2232400,53493,0,8527359,8580852,10813252,4325554,7625,685,209989,10947,54346,130913,75341
2301|2015,2301,Brownsville,Texas,25.90139,-97.49722,2015,2,0,2,,1,1,,2325301,48583,0,8576187,8624770,10950071,4340461,7387,749,205159,8887,64672,128024,71927
2301|2016,2301,Brownsville,Texas,25.90139,-97.49722,2016,2,1,3,,,3,,2550833,46395,0,9428627,9475022,12025855,4635919,7239,758,217331,11166,74352,134894,83078
2301|2017,2301,Brownsville,Texas,25.90139,-97.49722,2017,4,0,4,,,4,,2761819,43733,,10047891,10091624,12853443,4859573,6476,829,228188,9275,79696,164368,99523
2301|2018,2301,Brownsville,Texas,25.90139,-97.49722,2018,8,0,8,,,5,,2893455,46609,,10043076,10089685,12983140,4742355,6239,937,255169,10792,82563,150952,104550
2302|2014,2302,Del Rio,Texas,29.3625,-100.89639,2014,,,,,,,,104252,0,0,2839645,2839645,2943897,1347713,0,0,69048,0,0,52769,10541
2302|2015,2302,Del Rio,Texas,29.3625,-100.89639,2015,145,0,145,,1,7,,207028,0,0,2936276,2936276,3143304,1438570,0,0,70009,0,0,55762,8391
2302|2016,2302,Del Rio,Texas,29.3625,-100.89639,2016,2,0,2,,,2,,167249,0,0,3128449,3128449,3295698,1526137,0,0,74290,0,0,56863,12183
2302|2017,2302,Del Rio,Texas,29.3625,-100.89639,2017,4,0,4,,,3,,147800,,,3262388,3262388,3410188,1605233,,,74207,,,68254,17134
2302|2018,2302,Del Rio,Texas,29.3625,-100.89639,2018,3,0,3,,,2,,166084,,,3177659,3177659,3343743,1624201,,,78328,,,61379,17039
2303|2014,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,2014,,,,,,,,856700,26682,0,5082478,5109160,5965860,2466385,1027,2728,136506,121329,132998,87556,50273
2303|2015,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,2015,10,0,10,,1,6,1,914449,23748,0,5362527,5386275,6300724,2683168,950,2814,141592,131250,142982,86386,55867
2303|2016,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,2016,18,1,18,,1,17,,824560,25574,0,5424549,5450123,6274683,2729400,1035,3062,159538,153583,165147,97180,60826
2303|2017,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,2017,34,0,34,29,,27,,858701,37790,,5520345,5558135,6416836,2666130,1858,3333,169578,170305,180752,154755,42661
2303|2018,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,2018,35,3,35,13,1,25,1,703659,62010,,5893825,5955835,6659494,2798712,2688,3452,173105,158308,200780,145394,28013
2304|2014,2304,Laredo,Texas,27.506109999999996,-99.50721999999999,2014,,,,,,,,3447437,1020567,0,10335481,11356048,14803485,5250601,41230,3758,1947846,254849,150227,1481478,441607
2304|2015,2304,Laredo,Texas,27.506109999999996,-99.50721999999999,2015,17,3,19,11,4,11,,3542190,977305,0,10985281,11962586,15504776,5224056,40065,3634,2015773,245508,146908,1520801,472075
2304|2016,2304,Laredo,Texas,27.506109999999996,-99.50721999999999,2016,107,0,107,3,,18,,3573992,1039605,0,10745977,11785582,15359574,5092204,41856,3739,2083964,253423,148144,1559287,489896
2304|2017,2304,Laredo,Texas,27.506109999999996,-99.50721999999999,2017,86,3,88,4,2,36,1,3016801,728177,,10488748,11216925,14233726,4990649,40220,4252,2182984,239138,182125,1570156,598013
2304|2018,2304,Laredo,Texas,27.506109999999996,-99.50721999999999,2018,74,0,74,8,5,26,,3701135,816696,,10597928,11414624,15115759,5157945,38996,4251,2313967,258554,188921,1683258,634750
2305|2014,2305,Hidalgo,Texas,26.1,-98.26278,2014,1,0,1,,,1,,2290469,349417,0,9252030,9601447,11891916,4565037,26087,0,530093,0,0,383442,136645
